Step,Loss,Learning_Rate,Elapsed_Time_Minutes
2020,0.9552,0.00019819086595353734,3.03
2030,1.1075,0.00019813963259454633,3.52
2040,1.086,0.00019808769069241388,3.89
2050,1.0481,0.0001980350406221473,4.14
2060,1.1572,0.00019798168276386667,5.12
2070,0.9646,0.00019792761750280215,5.75
2080,1.0085,0.00019787284522929113,6.24
2090,1.0024,0.00019781736633877546,6.62
2100,1.0886,0.0001977611812317986,6.86
2110,1.1668,0.00019770429031400273,7.82
2120,0.9566,0.00019764669399612576,8.43
2130,1.0234,0.0001975883926939984,8.91
2140,1.0833,0.00019752938682854126,9.29
2150,1.0413,0.00019746967682576162,9.53
2160,1.1504,0.00019740926311675048,10.47
2170,0.9638,0.00019734814613767943,11.1
2180,1.0154,0.00019728632632979746,11.59
2190,1.0535,0.0001972238041394279,11.96
2200,1.0369,0.000197160580017965,12.19
2210,1.2139,0.00019709665442187076,13.14
2220,0.9116,0.00019703202781267177,13.77
2230,0.9461,0.00019696670065695563,14.25
2240,1.0508,0.00019690067342636783,14.62
2250,1.1013,0.00019683394659760804,14.86
2260,1.1588,0.00019676652065242703,15.83
2270,0.9137,0.00019669839607762296,16.48
2280,1.0182,0.00019662957336503788,16.97
2290,1.0114,0.00019656005301155421,17.35
2300,1.0609,0.00019648983551909122,17.59
2310,1.0826,0.0001964189213946013,18.52
2320,0.9281,0.0001963473111500664,19.13
2330,0.9822,0.0001962750053024942,19.61
2340,1.0191,0.00019620200437391448,19.98
2350,1.0693,0.0001961283088913754,20.22
2360,1.1274,0.0001960539193869395,21.19
2370,0.8943,0.0001959788363976801,21.82
2380,1.0045,0.00019590306046567724,22.32
2390,1.0532,0.00019582659213801383,22.7
2400,1.0155,0.00019574943196677168,22.95
2410,1.122,0.00019567158050902767,23.93
2420,0.8859,0.00019559303832684938,24.55
2430,0.9852,0.00019551380598729142,25.05
2440,0.9918,0.00019543388406239104,25.42
2450,1.0348,0.0001953532731291642,25.65
2460,1.1783,0.00019527197376960128,26.61
2470,0.9392,0.00019518998657066302,27.22
2480,1.0054,0.000195107312124276,27.7
2490,1.0309,0.0001950239510273287,28.08
2500,1.0474,0.00019493990388166704,28.31
2520,0.938,0.0001947697538763451,39.65
2530,1.0411,0.00019468365224512452,40.13
2540,1.0277,0.00019459686702206008,40.5
2550,1.0674,0.0001945093988337189,40.74
2560,1.1129,0.00019442124831159908,41.73
2570,0.9083,0.0001943324160921249,42.35
2580,1.0049,0.00019424290281664237,42.84
2590,1.0195,0.00019415270913141449,43.21
2600,1.045,0.00019406183568761672,43.47
2610,1.1342,0.00019397028314133215,44.46
2620,0.9096,0.0001938780521535468,45.1
2630,0.9522,0.00019378514339014503,45.6
2640,1.061,0.0001936915575219043,45.97
2650,0.9991,0.00019359729522449085,46.22
2660,1.1421,0.00019350235717845434,47.19
2670,0.9185,0.00019340674406922333,47.8
2680,1.0337,0.0001933104565871001,48.28
2690,1.0016,0.00019321349542725575,48.65
2700,1.0169,0.0001931158612897251,48.88
2710,1.1631,0.0001930175548794018,49.86
2720,0.8775,0.00019291857690603305,50.5
2730,1.0016,0.00019281892808421463,51.01
2740,0.9978,0.00019271860913338564,51.39
2750,1.0155,0.00019261762077782329,51.64
2760,1.0982,0.00019251596374663784,52.62
2770,0.9296,0.00019241363877376712,53.25
2780,1.001,0.00019231064659797135,53.75
2790,0.9992,0.00019220698796282784,54.14
2800,1.0664,0.0001921026636167255,54.39
2810,1.1331,0.0001919976743128595,55.37
2820,0.9313,0.0001918920208092259,55.99
2830,1.009,0.00019178570386861607,56.48
2840,1.0616,0.00019167872425861123,56.86
2850,1.0384,0.0001915710827515769,57.12
2860,1.136,0.00019146278012465736,58.07
2870,0.9201,0.00019135381715976993,58.69
2880,0.9893,0.00019124419464359947,59.18
2890,1.0253,0.00019113391336759262,59.55
2900,1.0457,0.0001910229741279521,59.78
2910,1.1352,0.00019091137772563098,60.75
2920,0.9073,0.00019079912496632682,61.36
2930,1.0445,0.00019068621666047593,61.84
2940,0.995,0.00019057265362324753,62.21
2950,1.021,0.0001904584366745378,62.46
2960,1.1034,0.000190343566638964,63.45
2970,0.9019,0.00019022804434585852,64.1
2980,0.9707,0.00019011187062926293,64.6
2990,1.0218,0.0001899950463279218,64.97
3000,1.0421,0.00018987757228527684,65.21
3020,0.9057,0.0001896406783732909,76.61
3030,1.0015,0.0001895212602142636,77.1
3040,1.0495,0.0001894011957345475,77.49
3050,1.0126,0.00018928048580097757,77.72
3060,1.1555,0.0001891591312850487,78.69
3070,0.9151,0.00018903713306290968,79.3
3080,1.0213,0.00018891449201535645,79.76
3090,0.9968,0.00018879120902782627,80.13
3100,1.0633,0.00018866728499039083,80.36
3110,1.1445,0.00018854272079775006,81.36
3120,0.9033,0.0001884175173492258,82.01
3130,1.0137,0.00018829167554875492,82.51
3140,0.9695,0.00018816519630488325,82.88
3150,1.0476,0.0001880380805307587,83.13
3160,1.1181,0.00018791032914412472,84.07
3170,0.9257,0.00018778194306731379,84.69
3180,1.053,0.00018765292322724068,85.18
3190,1.0008,0.00018752327055539575,85.54
3200,1.0349,0.0001873929859878383,85.78
3210,1.1256,0.00018726207046518964,86.74
3220,0.8822,0.00018713052493262656,87.35
3230,1.0108,0.00018699835033987423,87.81
3240,1.0026,0.0001868655476411995,88.17
3250,1.0705,0.00018673211779540413,88.41
3260,1.1021,0.00018659806176581754,89.37
3270,0.9304,0.00018646338052029008,90.0
3280,1.0215,0.00018632807503118608,90.49
3290,1.0383,0.00018619214627537667,90.87
3300,1.0185,0.00018605559523423283,91.11
3310,1.1408,0.00018591842289361832,92.07
3320,0.9278,0.00018578063024388245,92.72
